exercise_id,exercise_name_ko,body_focus_code,primary_body_area_codes,secondary_body_area_codes,proposed_body_focus_code,proposed_difficulty_code,difficulty_code,timing_mode_code,default_sets,default_reps,default_work_seconds,default_rest_seconds,default_transition_seconds,intensity_level,name_ko_status,body_focus_status,body_area_status,difficulty_status,fitt_status,name_ko_basis,body_focus_basis,body_area_basis,difficulty_basis,fitt_basis,catalog_exposure_code,canonical_exercise_id,variant_relation_code,variant_basis,reviewer,reviewed_at,name_en,fitt_template_id,default_intensity,fitt_mapping_exception_code,fitt_mapping_note,suggested_movement_pattern,current_training_type
NEX-000001,바벨 데드리프트,GLUTES,"[""HIP""]","[""KNEE"",""LOWER_BACK""]",,INTERMEDIATE,INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination.","작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM 및 초보·중급 저항운동 1–2분 휴식 원칙, NSCA의 다관절 운동 우선 원칙을 반영; 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000001,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell deadlift,FITT-COMPOUND-HINGE-V1,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,HINGE,STRENGTH
NEX-000002,바벨 디클라인 벤트 암 풀오버,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]",,INTERMEDIATE,INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination.","작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000002,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell decline bent arm pullover,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PULL,STRENGTH
NEX-000003,바벨 디클라인 와이드그립 풀오버,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]",,INTERMEDIATE,INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination.","작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000003,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell decline wide-grip pullover,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PULL,STRENGTH
NEX-000004,바벨 프론트 레이즈,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]",,BEGINNER,BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000004,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell front raise,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PUSH,STRENGTH
NEX-000005,바벨 풀오버,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]",,INTERMEDIATE,INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination.","작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000005,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell pullover,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PULL,STRENGTH
NEX-000006,바벨 리버스 리스트 컬,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]",,BEGINNER,BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000006,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell reverse wrist curl,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PULL,STRENGTH
NEX-000007,바벨 시티드 카프 레이즈,CALVES,"[""ANKLE_FOOT""]","[""KNEE""]",,BEGINNER,BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000007,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell seated calf raise,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,SQUAT,STRENGTH
NEX-000008,바벨 스탠딩 오버헤드 삼두 익스텐션,TRICEPS,"[""ELBOW""]","[""SHOULDER""]",,BEGINNER,BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000008,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell standing overhead triceps extension,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PUSH,STRENGTH
NEX-000009,바벨 스트레이트 레그 데드리프트,HAMSTRINGS,"[""HIP""]","[""KNEE"",""LOWER_BACK""]",,INTERMEDIATE,INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination.","작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM 및 초보·중급 저항운동 1–2분 휴식 원칙, NSCA의 다관절 운동 우선 원칙을 반영; 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000009,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell straight leg deadlift,FITT-COMPOUND-HINGE-V1,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,HINGE,STRENGTH
NEX-000010,바벨 리스트 컬,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]",,BEGINNER,BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,DOMAIN_APPROVED_V2_TARGET_MUSCLE_REVIEW_2026_08_25,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"작업 요청의 보수적 카탈로그 기본값. ACSM 2009 Position Stand의 초보자 8–12 RM과 보조운동 1–2분 휴식 원칙을 참고해 반복 수를 10–15회, 휴식을 60–90초로 설정; 단일관절 여부와 개인별 부하는 Agent가 확인.",PRIMARY,NEX-000010,NONE,No versioned source-pair decision recorded.,DOMAIN_EXPERT_REVIEW,2026-08-25T00:00:00+09:00,barbell wrist curl,FITT-ISOLATION-STRENGTH-V1,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PULL,STRENGTH
